p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.32221909593967e-40,0.311149836419503,0.455,0.027,3.11572136102225e-36,1,CG17739
2.67343193313948e-40,0.619536253369726,0.43,0.019,3.58694362469324e-36,1,stumps
2.73787902961234e-40,0.397211200591982,0.394,0.007,3.67341229403087e-36,1,CG31121
2.85068065579889e-40,0.427677297346624,0.542,0.058,3.82475823588537e-36,1,CG31705
3.08323755043039e-40,0.382333363823066,0.718,0.127,4.13677982141246e-36,1,Vang
3.36147509102256e-40,0.644954135124963,0.704,0.129,4.51009112962497e-36,1,GEFmeso
3.64650365242251e-40,0.333402833251113,0.588,0.075,4.89251395045528e-36,1,CG13698
4.23981484149843e-40,0.251472293340164,0.592,0.078,5.68855957283844e-36,1,Pgk
5.11878993665607e-40,0.396402164552861,0.375,0.002,6.86788045801145e-36,1,MCPH1
5.16410040228048e-40,0.323327587622319,0.437,0.022,6.92867350973972e-36,1,CG40160
5.40475382993825e-40,1.01744761369098,0.863,0.27,7.25155821362815e-36,1,cwo
6.12359400975055e-40,0.773079861435564,0.469,0.034,8.21602608288231e-36,1,ss
7.4284680466625e-40,0.711642897359931,0.412,0.015,9.96677557820708e-36,1,CG12075
7.51025249997271e-40,0.631316101956424,0.404,0.012,1.00765057792134e-35,1,tx
7.81767117945064e-40,0.460221377549109,0.39,0.007,1.04889694214689e-35,1,CG14439
8.27198088673214e-40,0.452772994438846,0.542,0.061,1.10985167557285e-35,1,mol
8.50497046604059e-40,0.462426348339816,0.397,0.01,1.14111188742867e-35,1,CG3328
9.61653671198788e-40,0.41242982949269,0.581,0.075,1.29025073064741e-35,1,CG4404
1.10775600883663e-39,0.346901003556134,0.404,0.012,1.4862762370561e-35,1,Vdup1
1.19389804520481e-39,0.338557765188173,0.531,0.056,1.6018530072513e-35,1,His3.3A
1.30693643112928e-39,0.433755325021767,0.412,0.015,1.75351660964615e-35,1,CG10237
1.42597495910859e-39,0.291005186020527,0.484,0.039,1.913230602636e-35,1,S6KL
1.73908071220083e-39,0.302249511388676,0.531,0.056,2.33332459155985e-35,1,bmm
1.90337946724651e-39,0.450729697054224,0.585,0.078,2.55376423120465e-35,1,CG13124
2.20656608044054e-39,0.779021358698808,0.444,0.027,2.96054971012708e-35,1,CG43693
2.29861044988117e-39,0.357518926692234,0.386,0.007,3.08404564060557e-35,1,ninaB
2.59283321088062e-39,0.538876356354952,0.513,0.051,3.47880431903853e-35,1,Snp
2.68313369003717e-39,0.34073375924112,0.578,0.075,3.59996047192286e-35,1,CG31523
2.86078821503206e-39,0.266909134059018,0.52,0.054,3.83831954810851e-35,1,hid
3.51183755869197e-39,0.300123108878301,0.505,0.049,4.71183245249701e-35,1,CG32428
4.04418199566099e-39,0.349250322978213,0.451,0.029,5.42607898357834e-35,1,RhoU
5.01063495665725e-39,0.293628458177719,0.458,0.032,6.72276892134703e-35,1,ced-6
5.08903346737285e-39,0.606544095448096,0.419,0.019,6.82795620317415e-35,1,CG33110
5.82013036088689e-39,0.365998956927854,0.477,0.039,7.80886890520194e-35,1,bnl
6.47174295887956e-39,0.466385910828802,0.39,0.01,8.6831375279287e-35,1,loco
6.57008584361204e-39,0.449805824133473,0.397,0.012,8.81508417637428e-35,1,CG4374
7.57347631245859e-39,0.475139799166813,0.357,0,1.01613331684257e-34,1,dpp
7.67966324979631e-39,0.634315456463697,0.65,0.109,1.03038041822517e-34,1,CG1561
9.58263969979641e-39,0.878318535795046,0.819,0.217,1.28570276852168e-34,1,Pkn
1.00240798226082e-38,0.361439974056205,0.426,0.022,1.34493078979934e-34,1,a
1.05269431633494e-38,0.431768650280917,0.679,0.119,1.41239996422659e-34,1,CG11050
1.17642827093799e-38,0.491863864772848,0.372,0.005,1.57841381111751e-34,1,lncRNA:CR43650
1.21553193178462e-38,0.331098300964233,0.372,0.005,1.63087919287543e-34,1,CG6175
1.40458350847481e-38,0.588286938130547,0.664,0.117,1.88452969332065e-34,1,CAP
1.50728288643619e-38,0.357083231616646,0.664,0.114,2.02232144873143e-34,1,Exn
1.71218222699362e-38,0.489855277381796,0.545,0.066,2.29723489395734e-34,1,chp
1.72815879441526e-38,0.957014634077011,0.675,0.141,2.31867065446695e-34,1,trp
1.85691974676233e-38,0.455775053453835,0.386,0.01,2.49142922423101e-34,1,Crg-1
2.17870240341616e-38,0.348265825475766,0.458,0.034,2.92316501466346e-34,1,Swim
2.19699793567961e-38,0.519241990353815,0.437,0.027,2.94771213030133e-34,1,CG4829
3.13386065469634e-38,0.341404712669823,0.451,0.032,4.20470084040608e-34,1,CG31710
3.15553477084148e-38,0.444851395541545,0.596,0.088,4.23378100203801e-34,1,Sirup
3.16543488236443e-38,0.591046377239237,0.433,0.027,4.24706398166835e-34,1,santa-maria
3.26993457948776e-38,0.561859081723201,0.798,0.185,4.38727122529873e-34,1,bif
3.29938895123892e-38,0.389970445791535,0.368,0.005,4.42679015587726e-34,1,Cad99C
3.77149991347042e-38,0.484274032335594,0.679,0.124,5.06022143390326e-34,1,Ac13E
6.03912718764399e-38,0.359071899488585,0.39,0.012,8.10269694766194e-34,1,rdhB
7.09071046490144e-38,0.568285848614269,0.722,0.148,9.51360623075826e-34,1,fabp
7.15946055864154e-38,2.07298918453954,0.751,0.268,9.60584823152936e-34,1,trpl
1.02065861741997e-37,0.372486952888089,0.646,0.107,1.36941766699238e-33,1,CG31038
1.12272600377406e-37,0.381305428539831,0.372,0.007,1.50636147926365e-33,1,CG5346
1.15627417024617e-37,0.507184264590385,0.379,0.01,1.55137305421928e-33,1,Fs
1.3130370247955e-37,0.326422909310095,0.588,0.085,1.76170177616812e-33,1,spin
1.39686122926939e-37,0.4069143188822,0.498,0.051,1.87416871131074e-33,1,Usp8
1.5493618177336e-37,0.397755914618397,0.606,0.095,2.07877875085317e-33,1,CG17646
1.55110080676882e-37,0.285087447999133,0.386,0.012,2.08111195244172e-33,1,CG10939
1.59997521628753e-37,0.441758198568438,0.394,0.015,2.14668674769298e-33,1,MFS14
2.02424547235916e-37,1.00761452692926,0.924,0.319,2.71593015026429e-33,1,Fas3
2.11411989494764e-37,0.409464233597382,0.617,0.102,2.83651466305125e-33,1,SiaT
2.48981388508811e-37,0.413351706409559,0.736,0.148,3.34058328962272e-33,1,Gclc
2.71329046735873e-37,0.747092934107184,0.552,0.078,3.64042182005521e-33,1,rtp
3.1653573759935e-37,1.13797509628962,0.426,0.029,4.24695999137048e-33,1,bt
3.43584877338362e-37,0.902476335989266,0.982,0.672,4.60987829924881e-33,1,Wdr62
3.58793585481984e-37,0.275629591894064,0.375,0.01,4.81393353641178e-33,1,CG8468
3.73197629441215e-37,0.396346203936819,0.383,0.012,5.00719259421278e-33,1,CG34325
3.7584920949612e-37,0.420234281774273,0.39,0.015,5.04276884380945e-33,1,ec
4.13207336866746e-37,0.339384927119616,0.502,0.054,5.54400283874113e-33,1,mav
4.23552696534304e-37,0.25095974693392,0.542,0.068,5.68280652940076e-33,1,GstE12
5.27673519600104e-37,0.806466336139872,0.827,0.221,7.0797956124746e-33,1,fok
6.43214515620619e-37,0.298543857050006,0.552,0.073,8.63000915608184e-33,1,ds
6.92130783320414e-37,0.280249303423906,0.357,0.005,9.28631871980999e-33,1,betaTub97EF
7.32551500145541e-37,0.431478224453901,0.365,0.007,9.82864347745272e-33,1,Sox14
9.20253555967104e-37,0.595615442238268,0.513,0.061,1.23470419604106e-32,1,rho
9.43660846033167e-37,0.487350513056515,0.502,0.056,1.2661097571227e-32,1,Gbeta76C
9.61851246763415e-37,0.337949819442464,0.437,0.032,1.29051581778247e-32,1,UGP
1.05069231766474e-36,0.370760427826486,0.614,0.1,1.40971388261078e-32,1,CG32549
1.0723986872196e-36,0.448102361870176,0.661,0.119,1.43883731864254e-32,1,nrv2
1.18709702672331e-36,0.304688459734347,0.653,0.114,1.59272808075467e-32,1,oys
1.21328419477007e-36,0.413036322805245,0.394,0.017,1.627863404123e-32,1,klu
1.2576264773796e-36,0.501170839628555,0.401,0.019,1.68735744470021e-32,1,NAAT1
1.39123692553559e-36,0.564590290132891,0.502,0.056,1.8666225829911e-32,1,Mlc2
1.43273099512008e-36,0.377602523284604,0.469,0.044,1.92229517615261e-32,1,Gyg
1.5407956771705e-36,0.296110330345133,0.603,0.095,2.06728556005967e-32,1,Akt1
1.67161165678126e-36,0.359082023995799,0.354,0.005,2.24280135990341e-32,1,lncRNA:CR33963
1.93572941794481e-36,0.541070272053892,0.383,0.015,2.59716816005655e-32,1,CG17211
2.32624768593979e-36,0.327651685116109,0.585,0.088,3.12112652022541e-32,1,CG14207
2.4974995941885e-36,0.342074303798656,0.426,0.029,3.35089520552271e-32,1,CG15186
2.79447796244811e-36,0.737603851202234,0.336,0,3.74935108221664e-32,1,Irk1
2.88985069664134e-36,0.403386921791782,0.404,0.022,3.87731267968368e-32,1,aos
3.50174806320588e-36,0.274309159637163,0.44,0.034,4.69829537640333e-32,1,nrv1
4.04522112399418e-36,1.57390701127449,0.69,0.19,5.42747318206299e-32,1,l(2)41Ab
4.3804275551768e-36,0.456643876969016,0.646,0.117,5.87721965078072e-32,1,Rim2
4.49020852545265e-36,0.783293794830754,0.44,0.036,6.02451277859983e-32,1,CG1552
4.85112148904309e-36,0.286678626723625,0.614,0.1,6.50874970184911e-32,1,CG4297
5.19812202067548e-36,0.45872891034752,0.437,0.034,6.97432031514029e-32,1,CG9812
6.0991728700612e-36,0.494038341577729,0.365,0.01,8.18326023976112e-32,1,Cyp4g15
6.21165053904434e-36,0.557655894062675,0.408,0.024,8.33417152823578e-32,1,CG3036
7.07932785521273e-36,0.340464391099144,0.502,0.058,9.49833418333892e-32,1,lncRNA:CR44833
7.51215551142145e-36,0.35022572156763,0.462,0.044,1.00790590496742e-31,1,CG42598
8.13911992611401e-36,0.561766032914469,0.505,0.061,1.09202572048672e-31,1,CG8745
8.84629871200099e-36,0.311750308506817,0.408,0.024,1.18690789818917e-31,1,CarT
8.9665036220904e-36,0.329847799396677,0.581,0.09,1.20303579097587e-31,1,foi
9.77363607794758e-36,0.425689860193351,0.57,0.085,1.31132875257823e-31,1,CG9336
1.04641033645665e-35,0.959017340678573,0.628,0.124,1.40396874842388e-31,1,retinin
1.15598057312897e-35,0.383842400257938,0.347,0.005,1.55097913496714e-31,1,Syx4
1.17991214659701e-35,0.638684499896368,0.769,0.202,1.5830881270892e-31,1,sano
1.19795613714171e-35,0.349472085443866,0.599,0.097,1.60729774920303e-31,1,Swip-1
1.25315173346116e-35,0.411212857308976,0.347,0.005,1.68135368078483e-31,1,IP3K1
1.27353867645557e-35,0.277498039682746,0.347,0.005,1.70870684220044e-31,1,CG7675
1.56034725343202e-35,0.309676185315087,0.426,0.032,2.09351790992974e-31,1,dbr
1.58941084587328e-35,0.318415394607557,0.628,0.109,2.13251253190818e-31,1,Usp15-31
1.85219326157857e-35,0.383272805955692,0.426,0.032,2.48508769905997e-31,1,Ugt50B3
2.01683427008515e-35,0.867184337919548,0.823,0.234,2.70598654017324e-31,1,Amph
2.4118727730981e-35,0.367620752408587,0.552,0.08,3.23600969966572e-31,1,CG31997
2.53288652804145e-35,0.383313340593866,0.458,0.044,3.39837385467321e-31,1,pr
2.54145923073344e-35,0.374421644052197,0.39,0.019,3.40987584987505e-31,1,PGRP-LA
2.79669929276591e-35,0.751841146823436,0.841,0.268,3.75233144110403e-31,1,CG43658
2.9568758335687e-35,0.281501613739661,0.531,0.071,3.96724030589912e-31,1,fdl
3.24750758889355e-35,0.368095119674105,0.599,0.1,4.35718093201848e-31,1,Tpi
